pop_idx,regime,rho,beta,N,T,sigma,jaccard,beta,alpha,epsilon,nr_pop,nr_ind
,partial,0.5,0.8,200.0,20.0,0.25,0.024313131313132366,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.030101010101011967,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.020070707070707676,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02174747474747556,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.03227272727272932,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02203030303030392,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02595959595959724,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.020494949494950076,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.021121212121212853,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.032616161616163805,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.023909090909091817,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.03163636363636568,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.03227272727272956,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.025777777777778975,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.019707070707071266,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.023696969696970653,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.022414141414142302,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.027363636363637884,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02680808080808203,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.02615151515151641,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.030838383838385733,0.8,0.0,100,,
,partial,0.5,0.8,200.0,20.0,0.25,0.029161616161617814,0.8,0.0,100,,
